[box:2022-07-03 22:05:26] : [INFO] - [ 200 |       763.6µs |       127.0.0.1 | POST | /api/admin/login ]
[box:2022-07-03 22:07:05] : [INFO] - [ 404 |       150.3µs |       127.0.0.1 | POST | /api/home ]
[box:2022-07-03 22:15:30] : [INFO] - [ 404 |            0s |       127.0.0.1 | POST | /api/home ]
[box:2022-07-03 23:05:19] : [INFO] - [ 200 |            0s |       127.0.0.1 | POST | /api/admin/login ]
[box:2022-07-04 15:47:13] : [INFO] - [ 404 |       528.6µs |       127.0.0.1 | POST | /api/register ]
[box:2022-07-04 15:48:30] : [INFO] - [ 200 |      4.7244ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 15:49:43] : [INFO] - [ 200 |      1.7135ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 15:50:16] : [INFO] - [ 200 |       1.977ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 15:52:13] : [INFO] - [ 200 |      2.8524ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 15:58:25] : [INFO] - [ 200 |      1.6368ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 15:59:34] : [INFO] - [ 200 |      1.6272ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:02:34] : [INFO] - [ 200 |      3.0083ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:04:37] : [INFO] - [ 200 |      1.9238ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:09:51] : [INFO] - [ 200 |      2.8246ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:10:08] : [INFO] - [ 200 |      1.8943ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:10:20] : [INFO] - [ 200 |      1.7338ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:10:56] : [INFO] - [ 200 |      2.4038ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:57:42] : [INFO] - [ 400 |      1.0367ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:57:54] : [INFO] - [ 200 |     79.3118ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 16:58:04] : [INFO] - [ 200 |     77.6963ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 17:06:00] : [INFO] - [ 200 |     79.9702ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 17:07:44] : [INFO] - [ 200 |      81.804ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 17:26:44] : [INFO] - [ 400 |     80.3618ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 17:50:56] : [INFO] - [ 200 |       561.7µs |       127.0.0.1 | POST | /api/admin/login ]
[box:2022-07-04 17:51:06] : [INFO] - [ 404 |            0s |       127.0.0.1 | POST | /api/base/login ]
[box:2022-07-04 17:52:21] : [INFO] - [ 200 |       1.833ms |       127.0.0.1 | POST | /api/base/login ]
[box:2022-07-04 17:54:19] : [INFO] - [ 400 |      1.2683ms |       127.0.0.1 | POST | /api/base/login ]
[box:2022-07-04 17:54:32] : [INFO] - [ 200 |      1.3168ms |       127.0.0.1 | POST | /api/base/login ]
[box:2022-07-04 18:00:31] : [INFO] - [ 200 |      2.1568ms |       127.0.0.1 | POST | /api/base/login ]
[box:2022-07-04 18:05:29] : [INFO] - [ 200 |     80.5714ms |       127.0.0.1 | POST | /api/base/register ]
[box:2022-07-04 18:12:36] : [INFO] - [ 200 |      1.7593ms |       127.0.0.1 | POST | /api/base/login ]
[box:2022-07-04 18:12:37] : [INFO] - [ 200 |      1.7972ms |       127.0.0.1 | POST | /api/base/login ]
